KalmanPitch,KalmanRoll,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.03,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.02,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.06,,,
-2.03,-94.05,,,
-2.03,-94.05,,,
-2.05,-94.05,,,
-2.05,-94.03,,,
-2.06,-94.03,,,
-2.07,-94.03,,,
-2.07,-94.03,,,
-2.07,-94.06,,,
-2.07,-94.07,,,
-2.08,-94.07,,,
-2.07,-94.06,,,
-2.07,-94.06,,,
-2.07,-94.07,,,
-2.06,-94.08,,,
-2.06,-94.09,,,
-2.06,-94.09,,,
-2.06,-94.1,,,
-2.06,-94.11,,,
-2.06,-94.11,,,
-2.05,-94.11,,,
-2.05,-94.12,,,
-2.05,-94.12,,,
-2.05,-94.13,,,
-2.05,-94.13,,,
-2.06,-94.13,,,
-2.05,-94.13,,,
-2.03,-94.14,,,
-1.99,-94.14,,,
-1.95,-94.14,,,
-1.9,-94.14,,,
-1.83,-94.13,,,
-1.76,-94.12,,,
-1.71,-94.11,,,
-1.68,-94.09,,,
-1.66,-94.09,,,
-1.66,-94.09,,,
-1.67,-94.1,,,
-1.67,-94.1,,,
-1.67,-94.1,,,
-1.67,-94.11,,,
-1.68,-94.11,,,
-1.68,-94.11,,,
-1.69,-94.11,,,
-1.69,-94.11,,,
-1.69,-94.1,,,
-1.69,-94.1,,,
-1.7,-94.1,,,
-1.7,-94.09,,,
-1.71,-94.08,,,
-1.71,-94.08,,,
-1.71,-94.08,,,
-1.71,-94.07,,,
-1.71,-94.07,,,
-1.72,-94.07,,,
