KalmanPitch,KalmanRoll,,,,,
73.23,12.75,,,,,
73.32,11.85,,,,,
73.41,12.59,,,,,
73.48,13.35,,,,,
73.55,14.09,,,,,
73.62,14.84,,,,,
73.68,15.56,,,,,
73.75,16.25,,,,,
73.81,17,,,,,
73.88,17.73,,,,,
73.94,18.1,,,,,
73.98,18.59,,,,,
74.03,18.83,,,,,
74.08,19.21,,,,,
74.12,19.49,,,,,
74.17,19.71,,,,,
74.23,19.94,,,,,
74.3,20.24,,,,,
74.36,20.51,,,,,
74.4,20.74,,,,,
74.45,20.96,,,,,
74.48,21.2,,,,,
74.5,21.37,,,,,
74.52,21.67,,,,,
74.54,22.13,,,,,
74.54,22.58,,,,,
74.55,23.03,,,,,
74.58,23.46,,,,,
74.6,22.18,,,,,
74.53,20.79,,,,,
74.51,19.26,,,,,
74.48,17.64,,,,,
74.47,16.08,,,,,
74.47,14.65,,,,,
74.49,13.32,,,,,
74.53,12.06,,,,,
74.59,10.84,,,,,
74.65,9.66,,,,,
74.71,8.48,,,,,
74.77,7.29,,,,,
74.83,6.13,,,,,
74.9,5.04,,,,,
74.96,3.85,,,,,
75.02,4.55,,,,,
75.1,3.5,,,,,
75.17,2.61,,,,,
75.24,1.77,,,,,
75.3,1.06,,,,,
75.36,1.97,,,,,
75.42,2.75,,,,,
75.47,3.53,,,,,
75.52,4.34,,,,,
75.58,5.13,,,,,
75.63,5.91,,,,,
75.68,6.69,,,,,
75.73,7.47,,,,,
75.78,8.25,,,,,
75.83,9.02,,,,,
75.88,9.79,,,,,
75.93,10.54,,,,,
75.98,11.29,,,,,
76.03,12.04,,,,,
76.08,12.79,,,,,
76.13,13.53,,,,,
76.18,14.28,,,,,
76.23,15.02,,,,,
76.28,15.75,,,,,
76.33,16.48,,,,,
76.38,17.21,,,,,
76.42,17.92,,,,,
76.47,18.64,,,,,
76.52,19.35,,,,,
76.57,20.06,,,,,
76.61,20.77,,,,,
76.66,21.47,,,,,
76.71,22.17,,,,,
76.75,22.87,,,,,
76.8,23.57,,,,,
76.84,24.26,,,,,
76.89,24.95,,,,,
76.93,25.63,,,,,
76.98,26.3,,,,,
77.02,26.98,,,,,
77.07,27.64,,,,,
77.11,28.3,,,,,
77.16,28.96,,,,,
77.2,29.62,,,,,
77.24,30.27,,,,,
77.29,30.93,,,,,
77.33,31.57,,,,,
77.37,32.22,,,,,
77.42,32.86,,,,,
77.46,33.5,,,,,
77.5,34.14,,,,,
77.54,34.77,,,,,
77.58,35.4,,,,,
77.63,36.02,,,,,
77.67,36.64,,,,,
77.71,37.25,,,,,
77.75,37.87,,,,,
77.79,38.49,,,,,
77.83,39.1,,,,,
77.87,39.7,,,,,
77.91,40.3,,,,,
77.95,40.89,,,,,
77.99,41.49,,,,,
78.03,42.09,,,,,
78.07,42.67,,,,,
78.11,43.25,,,,,
78.15,43.83,,,,,
78.19,44.42,,,,,
78.23,44.99,,,,,
78.27,45.57,,,,,
78.3,46.14,,,,,
78.34,46.71,,,,,
78.38,47.27,,,,,
78.42,47.84,,,,,
78.45,48.4,,,,,
78.49,48.96,,,,,
78.53,49.52,,,,,
78.56,50.08,,,,,
78.6,50.62,,,,,
78.64,51.17,,,,,
78.67,51.71,,,,,
78.71,52.26,,,,,
78.74,52.8,,,,,
78.78,53.34,,,,,
78.81,53.86,,,,,
78.85,54.38,,,,,
78.88,54.91,,,,,
78.92,55.44,,,,,
78.95,55.96,,,,,
78.98,56.48,,,,,
79.02,56.98,,,,,
79.05,57.49,,,,,
79.09,58,,,,,
79.12,58.5,,,,,
79.16,59,,,,,
79.19,59.5,,,,,
79.22,60,,,,,
79.26,60.49,,,,,
79.29,60.98,,,,,
79.32,61.47,,,,,
79.35,61.96,,,,,
79.39,62.45,,,,,
79.42,62.93,,,,,
79.45,63.41,,,,,
79.48,63.9,,,,,
79.51,64.38,,,,,
79.55,64.86,,,,,
79.58,65.33,,,,,
79.61,65.77,,,,,
79.64,66.2,,,,,
79.67,66.63,,,,,
79.71,67.07,,,,,
79.74,67.51,,,,,
79.78,67.95,,,,,
79.81,68.4,,,,,
79.84,68.85,,,,,
79.87,69.3,,,,,
79.89,69.76,,,,,
79.92,70.21,,,,,
79.95,70.66,,,,,
79.97,71.12,,,,,
80,71.56,,,,,
80.03,71.99,,,,,
80.06,72.42,,,,,
80.09,72.85,,,,,
80.12,73.28,,,,,
80.15,73.71,,,,,
80.17,74.13,,,,,
80.2,74.53,,,,,
80.23,74.94,,,,,
80.26,75.34,,,,,
80.29,75.74,,,,,
80.32,76.14,,,,,
80.34,76.55,,,,,
80.37,76.95,,,,,
80.4,77.35,,,,,
80.42,77.75,,,,,
80.45,78.14,,,,,
80.48,78.53,,,,,
80.51,78.93,,,,,
80.53,79.32,,,,,
80.56,79.71,,,,,
80.59,80.1,,,,,
80.61,80.48,,,,,
80.64,80.86,,,,,
80.66,81.25,,,,,
80.69,81.63,,,,,
80.71,82.01,,,,,
80.74,82.39,,,,,
80.76,82.77,,,,,
80.78,83.15,,,,,
80.81,83.52,,,,,
80.83,83.89,,,,,
80.86,84.26,,,,,
80.88,84.62,,,,,
80.9,84.99,,,,,
80.93,85.35,,,,,
80.95,85.71,,,,,
80.98,86.07,,,,,
81,86.43,,,,,
81.02,86.77,,,,,
81.05,87.12,,,,,
81.07,87.47,,,,,
81.1,87.82,,,,,
81.12,88.16,,,,,
81.14,88.51,,,,,
81.17,88.86,,,,,
81.19,89.19,,,,,
81.21,89.53,,,,,
81.24,89.86,,,,,
81.26,90.19,,,,,
81.28,90.53,,,,,
81.3,90.86,,,,,
81.32,91.19,,,,,
81.34,91.52,,,,,
81.37,91.85,,,,,
81.39,92.17,,,,,
81.41,92.49,,,,,
81.43,92.81,,,,,
81.45,93.13,,,,,
81.47,93.45,,,,,
81.49,93.76,,,,,
81.51,94.08,,,,,
81.54,94.39,,,,,
81.56,94.71,,,,,
81.58,95.03,,,,,
81.6,95.33,,,,,
81.62,95.63,,,,,
81.64,95.93,,,,,
81.66,96.23,,,,,
81.68,96.54,,,,,
81.7,96.84,,,,,
81.72,97.13,,,,,
81.74,97.42,,,,,
81.76,97.73,,,,,
81.78,98.02,,,,,
81.79,98.31,,,,,
81.81,98.6,,,,,
81.83,98.89,,,,,
81.85,99.17,,,,,
81.87,99.45,,,,,
81.89,99.74,,,,,
81.91,100.02,,,,,
81.93,100.3,,,,,
81.95,100.58,,,,,
81.96,100.87,,,,,
81.98,101.14,,,,,
82,101.42,,,,,
82.02,101.68,,,,,
82.04,101.96,,,,,
82.05,102.24,,,,,
82.07,102.51,,,,,
82.09,102.77,,,,,
82.11,103.04,,,,,
82.12,103.31,,,,,
82.14,103.58,,,,,
82.16,103.84,,,,,
82.18,104.1,,,,,
82.19,104.35,,,,,
82.21,104.61,,,,,
82.23,104.87,,,,,
82.24,105.12,,,,,
82.26,105.37,,,,,
82.28,105.62,,,,,
