KalmanPitch,KalmanRoll,,,
-3.17,95.62,,,
-3.18,95.63,,,
-3.16,95.62,,,
-3.14,95.62,,,
-3.09,95.61,,,
-3.03,95.58,,,
-2.97,95.57,,,
-2.92,95.57,,,
-2.87,95.56,,,
-2.83,95.57,,,
-2.79,95.6,,,
-2.75,95.63,,,
-2.72,95.66,,,
-2.69,95.71,,,
-2.65,95.77,,,
-2.62,95.84,,,
-2.58,95.87,,,
-2.56,95.86,,,
-2.55,95.89,,,
-2.53,95.92,,,
-2.51,95.96,,,
-2.5,96.02,,,
-2.49,96.08,,,
-2.47,96.12,,,
-2.45,96.15,,,
-2.46,96.18,,,
-2.47,96.24,,,
-2.48,96.31,,,
-2.49,96.37,,,
-2.51,96.42,,,
-2.56,96.41,,,
-2.61,96.4,,,
-2.67,96.41,,,
-2.74,96.49,,,
-2.8,96.56,,,
-2.87,96.59,,,
-2.95,96.57,,,
-3.02,96.57,,,
-3.1,96.54,,,
-3.17,96.56,,,
-3.21,96.58,,,
-3.26,96.57,,,
-3.31,96.48,,,
-3.34,96.4,,,
-3.37,96.38,,,
-3.41,96.38,,,
-3.44,96.39,,,
-3.47,96.42,,,
-3.49,96.45,,,
-3.52,96.45,,,
-3.55,96.47,,,
-3.59,96.48,,,
-3.61,96.51,,,
-3.66,96.5,,,
-3.7,96.49,,,
-3.76,96.46,,,
-3.82,96.43,,,
-3.89,96.38,,,
-3.93,96.34,,,
-3.98,96.3,,,
-4.02,96.26,,,
-4.05,96.22,,,
-4.07,96.18,,,
-4.09,96.16,,,
-4.13,96.12,,,
-4.14,96.09,,,
-4.18,96.06,,,
-4.21,96.05,,,
-4.24,96.04,,,
-4.27,96.03,,,
-4.3,96.02,,,
-4.33,96.02,,,
-4.36,96.02,,,
-4.38,96.01,,,
-4.42,96.01,,,
-4.46,96.01,,,
-4.48,96.02,,,
-4.51,96.02,,,
-4.55,96.04,,,
-4.59,96.05,,,
-4.63,96.06,,,
-4.67,96.07,,,
-4.7,96.08,,,
-4.72,96.09,,,
-4.76,96.12,,,
-4.79,96.14,,,
-4.82,96.17,,,
-4.84,96.19,,,
-4.85,96.21,,,
-4.85,96.23,,,
-4.83,96.25,,,
-4.8,96.25,,,
-4.77,96.26,,,
-4.74,96.26,,,
-4.71,96.29,,,
-4.7,96.3,,,
-4.69,96.33,,,
-4.7,96.34,,,
-4.71,96.36,,,
-4.73,96.38,,,
-4.74,96.39,,,
-4.74,96.41,,,
-4.75,96.43,,,
-4.74,96.44,,,
-4.73,96.47,,,
-4.72,96.49,,,
-4.7,96.5,,,
-4.67,96.52,,,
-4.65,96.54,,,
-4.63,96.55,,,
-4.61,96.55,,,
-4.58,96.55,,,
-4.56,96.58,,,
-4.53,96.58,,,
-4.5,96.58,,,
-4.47,96.58,,,
-4.45,96.59,,,
-4.41,96.61,,,
-4.38,96.63,,,
-4.33,96.65,,,
-4.27,96.68,,,
-4.2,96.7,,,
-4.11,96.74,,,
-4,96.76,,,
-3.9,96.78,,,
-3.78,96.8,,,
-3.68,96.8,,,
-3.58,96.8,,,
-3.5,96.81,,,
-3.41,96.78,,,
