-80.94,58.65,100.48,,,,
-80.96,59.3,100.34,,,,
-80.98,59.93,100.21,,,,
-81,60.57,100.07,,,,
-81.01,61.21,99.94,,-82.05,,-84.95
-81.03,59.93,99.8,,-68.23,,90.74
-81.04,60.58,99.66,,,,
-81.06,61.21,99.53,,,,
-81.08,61.85,99.4,,,,
-81.09,62.47,99.27,,,,
-81.11,63.09,99.09,,,,
-81.12,63.7,98.92,,,,
-81.14,64.29,98.78,,,,
-81.15,64.88,98.64,,,,
-81.17,65.46,98.5,,,,
-81.18,66.06,98.36,,,,
-81.19,66.65,98.22,,,,
-81.21,67.22,98.09,,,,
-81.22,67.78,97.95,,,,
-81.23,68.33,97.81,,,,
-81.24,68.88,97.63,,,,
-81.26,69.42,97.46,,,,
-81.27,69.98,97.3,,,,
-81.28,70.56,97.16,,,,
-81.3,69.25,97.02,,,,
-81.31,67.95,96.88,,,,
-81.33,66.66,96.74,,,,
-81.35,65.39,96.6,,,,
-81.36,64.14,96.48,,,,
-81.38,62.89,96.36,,,,
-81.4,61.65,96.24,,,,
-81.41,60.4,96.12,,,,
-81.43,59.15,96.04,,,,
-81.44,57.9,95.91,,,,
-81.45,56.65,95.79,,,,
-81.46,57.3,95.67,,,,
-81.46,57.95,95.56,,,,
-81.46,56.69,95.45,,,,
-81.46,57.35,95.37,,,,
-81.46,57.97,95.24,,,,
-81.47,58.54,95.1,,,,
-81.48,59.09,94.97,,,,
-81.49,59.62,94.84,,,,
-81.5,60.16,94.75,,,,
-81.51,60.78,94.66,,,,
-81.52,59.57,94.57,,,,
-81.53,58.42,94.49,,,,
-81.55,57.31,94.4,,,,
-81.57,56.21,94.28,,,,
-81.59,55.11,94.18,,,,
-81.62,53.98,94.07,,,,
-81.65,52.77,93.97,,,,
-81.67,51.69,93.87,,,,
-81.68,50.71,93.78,,,,
-81.71,51.02,93.68,,,,
-81.74,51.55,93.55,,,,
-81.76,52.22,93.42,,,,
-81.77,52.9,93.29,,,,
-81.78,53.58,93.19,,,,
-81.79,54.25,93.08,,,,
-81.8,54.9,92.96,,,,
-81.8,55.53,92.84,,,,
-81.8,56.15,92.73,,,,
-81.81,56.75,92.63,,,,
-81.81,57.34,92.53,,,,
-81.82,57.92,92.43,,,,
-81.83,58.51,92.32,,,,
-81.84,59.13,92.22,,,,
-81.86,59.77,92.12,,,,
-81.87,58.52,92.03,,,,
-81.89,57.31,91.94,,,,
-81.9,56.11,91.85,,,,
-81.91,54.96,91.72,,,,
-81.93,53.77,91.6,,,,
-81.95,52.58,91.48,,,,
-81.97,51.37,91.36,,,,
-81.99,52.05,91.24,,,,
-82.01,50.84,91.12,,,,
-82.02,49.64,91.03,,,,
-82.03,48.45,90.95,,,,
-82.04,47.28,90.87,,,,
-82.04,46.1,90.8,,,,
-82.04,44.91,90.73,,,,
-82.04,45.64,90.66,,,,
-82.04,46.33,90.55,,,,
-82.04,47,90.46,,,,
-82.04,47.65,90.37,,,,
-82.04,48.29,90.29,,,,
-82.04,48.93,90.19,,,,
-82.05,49.56,90.08,,,,
-81.97,49.64,89.97,,,,
-81.86,49.58,89.89,,,,
-81.78,49.66,89.81,,,,
-81.69,49.97,89.73,,,,
-81.66,48.72,89.64,,,,
-81.67,47.63,89.55,,,,
-81.7,47.79,89.47,,,,
-81.72,47.82,89.38,,,,
-81.75,48.04,89.3,,,,
-81.78,47.14,89.2,,,,
-81.8,46.26,89.11,,,,
-81.83,45.33,89.05,,,,
-81.86,45.05,89.01,,,,
-81.89,43.61,88.96,,,,
-81.91,43.88,88.9,,,,
-81.91,43.89,88.89,,,,
-81.92,43.92,88.89,,,,
-81.92,42.27,88.89,,,,
-81.75,40.87,88.88,,,,
-81.64,39.66,88.87,,,,
-81.6,38.59,88.85,,,,
-81.57,37.49,88.84,,,,
-81.52,36.44,88.82,,,,
-81.45,35.41,88.81,,,,
-81.39,34.42,88.79,,,,
-81.34,33.55,88.76,,,,
-81.33,32.74,88.74,,,,
-81.39,32.04,88.71,,,,
-81.48,31.14,88.74,,,,
-81.59,30.21,88.76,,,,
-81.71,30.73,88.72,,,,
-81.75,31.46,88.7,,,,
-81.75,30.56,88.67,,,,
-81.74,29.78,88.65,,,,
-81.73,29.04,88.61,,,,
-81.75,28.34,88.59,,,,
-81.76,27.61,88.57,,,,
-81.75,27,88.53,,,,
-81.73,26.39,88.5,,,,
-81.73,25.82,88.46,,,,
-81.74,27.1,88.45,,,,
-81.75,28.32,88.35,,,,
-81.78,29.24,88.26,,,,
-81.78,28.52,88.16,,,,
-81.79,29.31,88.07,,,,
-81.79,30.16,88,,,,
-81.82,31.03,87.93,,,,
-81.81,31.73,87.85,,,,
-81.8,32.45,87.76,,,,
-81.81,33.12,87.67,,,,
-81.83,33.87,87.58,,,,
-81.83,34.55,87.51,,,,
-81.85,35.43,87.43,,,,
-81.85,34.49,87.36,,,,
-81.83,35.12,87.28,,,,
-81.78,35.62,87.19,,,,
-81.77,36.23,87.11,,,,
