Pitch,Roll,,,,
-2.53,-24.21,129.1,,,
-2.54,-25.02,129.11,,,
-2.54,-25.84,129.12,,,
-2.54,-26.65,129.13,,,
-2.54,-27.45,129.13,,,
-2.54,-28.26,129.14,,,
-2.53,-27.15,129.14,,,
-2.53,-26.04,129.15,,,
-2.52,-24.95,129.15,,,
-2.52,-23.86,129.15,,,
-2.52,-22.78,129.15,,,
-2.52,-21.7,129.16,,,
-2.52,-20.63,129.17,,,
-2.52,-19.56,129.17,,,
-2.53,-18.5,129.17,,,
-2.53,-17.44,129.17,,,
-2.53,-18.3,129.18,,,
-2.54,-19.16,129.19,,,
-2.54,-20.01,129.19,,,
-2.55,-20.85,129.2,,,
-2.56,-21.71,129.2,,,
-2.56,-22.55,129.2,,,
-2.56,-23.38,129.2,,,
-2.55,-24.2,129.2,,,
-2.55,-25,129.19,,,
-2.54,-25.8,129.19,,,
-2.54,-26.6,129.18,,,
-2.54,-27.4,129.17,,,
-2.54,-28.2,129.17,,,
-2.55,-29.01,129.17,,,
-2.55,-29.82,129.17,,,
-2.56,-28.71,129.17,,,
-2.57,-27.61,129.18,,,
-2.58,-26.52,129.19,,,
-2.59,-25.43,129.2,,,
-2.73,-26.1,129.25,,,
-2.6,-25.06,129.57,,,
-2.56,-24.04,129.73,,,
-2.62,-24.82,129.82,,,
-2.63,-25.64,130,,,
-2.6,-24.57,130.21,,,
-2.61,-23.49,130.38,,,
-2.58,-22.46,130.52,,,
-2.55,-21.42,130.62,,,
-2.53,-20.35,130.66,,,
-2.52,-21.17,130.68,,,
-2.51,-21.98,130.67,,,
-2.5,-22.79,130.66,,,
-2.5,-23.59,130.67,,,
-2.48,-24.38,130.67,,,
-2.47,-25.16,130.67,,,
-2.46,-25.95,130.67,,,
-2.45,-26.74,130.66,,,
-2.43,-25.62,130.65,,,
-2.42,-26.38,130.66,,,
-2.38,-27.18,130.68,,,
-2.37,-26.09,130.69,,,
-2.37,-24.98,130.7,,,
-2.37,-23.89,130.71,,,
-2.38,-22.8,130.72,,,
-2.39,-21.73,130.73,,,
-2.4,-20.66,130.73,,,
-2.41,-19.6,130.74,,,
-2.42,-20.44,130.75,,,
-2.43,-19.38,130.77,,,
-2.43,-20.22,130.79,,,
-2.43,-21.05,130.8,,,
-2.43,-21.88,130.81,,,
-2.44,-22.71,130.82,,,
-2.44,-23.53,130.82,,,
-2.45,-24.35,130.83,,,
-2.45,-25.16,130.85,,,
-2.46,-25.98,130.85,,,
-2.46,-26.79,130.85,,,
-2.47,-27.61,130.86,,,
-2.48,-28.42,130.86,,,
-2.49,-29.24,130.86,,,
-2.5,-30.04,130.87,,,
-2.51,-30.84,130.87,,,
-2.51,-31.64,130.87,,,
-2.52,-32.44,130.88,,,
-2.53,-31.31,130.89,,,
-2.54,-32.12,130.9,,,
-2.55,-31,130.91,,,
-2.57,-29.89,130.93,,,
-2.7,-30.58,130.98,,,
-2.68,-29.46,131.26,,,
-2.59,-28.43,131.53,,,
-2.57,-27.36,131.63,,,
-2.58,-26.27,131.66,,,
-2.59,-25.17,131.67,,,
-2.6,-25.98,131.67,,,
-2.61,-26.79,131.67,,,
-2.6,-27.59,131.68,,,
-2.59,-28.38,131.68,,,
-2.58,-29.17,131.69,,,
-2.57,-29.96,131.7,,,
-2.56,-30.74,131.7,,,
-2.56,-31.51,131.71,,,
-2.55,-32.29,131.72,,,
-2.55,-33.07,131.73,,,
-2.55,-33.84,131.74,,,
-2.55,-32.71,131.75,,,
-2.55,-31.58,131.76,,,
-2.55,-30.46,131.76,,,
-2.55,-29.34,131.76,,,
-2.54,-28.23,131.76,,,
-2.53,-27.11,131.77,,,
-2.52,-26,131.78,,,
-2.52,-24.9,131.78,,,
-2.52,-25.71,131.78,,,
-2.52,-26.52,131.78,,,
-2.52,-27.32,131.78,,,
-2.52,-28.13,131.78,,,
-2.51,-27.03,131.78,,,
-2.49,-27.83,131.78,,,
-2.47,-28.62,131.77,,,
-2.45,-29.41,131.77,,,
-2.44,-30.2,131.77,,,
-2.43,-30.98,131.77,,,
-2.42,-31.77,131.77,,,
-2.41,-32.55,131.76,,,
-2.4,-33.34,131.76,,,
-2.4,-34.11,131.77,,,
-2.4,-34.89,131.78,,,
-2.41,-35.67,131.78,,,
-2.42,-34.53,131.78,,,
-2.43,-35.31,131.79,,,
-2.44,-34.18,131.79,,,
-2.45,-33.05,131.79,,,
-2.45,-31.92,131.79,,,
-2.46,-30.79,131.79,,,
-2.46,-31.58,131.8,,,
-2.47,-30.45,131.8,,,
-2.47,-29.33,131.81,,,
-2.48,-30.12,131.79,,,
-2.48,-30.91,131.78,,,
-2.49,-29.79,131.79,,,
-2.48,-30.58,131.8,,,
-2.48,-31.37,131.79,,,
-2.48,-30.23,131.78,,,
-2.47,-29.11,131.78,,,
-2.46,-27.98,131.77,,,
-2.45,-28.77,131.77,,,
-2.45,-29.54,131.77,,,
-2.46,-30.34,131.76,,,
-2.46,-29.23,131.76,,,
-2.46,-28.12,131.76,,,
-2.46,-27,131.75,,,
-2.45,-27.8,131.75,,,
-2.44,-26.68,131.74,,,
-2.42,-25.56,131.74,,,
-2.4,-24.44,131.73,,,
-2.37,-23.32,131.72,,,
-2.14,-22.2,131.72,,,
-2.26,-23.07,131.64,,,
-2.09,-21.98,131.59,,,
-2.12,-22.79,131.54,,,
-2.1,-21.7,131.54,,,
-2.12,-22.52,131.57,,,
-2.12,-23.36,131.67,,,
