81.32,131.23,204.18,,,,,
81.33,131.33,204.2,,,,,
81.35,131.43,204.23,,,,,
81.37,131.54,204.24,,,65.12,,11.04
81.39,131.64,204.25,,,82.45,,136.96
81.41,131.76,204.27,,,,,
81.43,131.87,204.29,,,,,
81.45,131.99,204.31,,,,,
81.47,132.12,204.34,,,,,
81.48,132.25,204.35,,,,,
81.5,132.39,204.37,,,,,
81.51,132.52,204.39,,,,,
81.52,132.65,204.41,,,,,
81.53,132.78,204.43,,,,,
81.54,132.92,204.44,,,,,
81.56,133.04,204.46,,,,,
81.57,133.15,204.48,,,,,
81.59,133.26,204.5,,,,,
81.6,133.33,204.52,,,,,
81.62,133.37,204.53,,,,,
81.63,133.4,204.55,,,,,
81.64,133.44,204.57,,,,,
81.66,133.49,204.58,,,,,
81.68,133.56,204.59,,,,,
81.69,133.64,204.59,,,,,
81.7,133.72,204.61,,,,,
81.71,133.81,204.63,,,,,
81.71,133.9,204.65,,,,,
81.72,134,204.67,,,,,
81.73,134.11,204.68,,,,,
81.73,134.24,204.7,,,,,
81.74,134.36,204.71,,,,,
81.75,134.49,204.73,,,,,
81.76,134.61,204.75,,,,,
81.77,134.72,204.77,,,,,
81.79,134.82,204.78,,,,,
81.8,134.89,204.79,,,,,
81.82,134.95,204.81,,,,,
81.83,135.01,204.82,,,,,
81.85,135.05,204.84,,,,,
81.86,135.09,204.85,,,,,
81.88,135.11,204.87,,,,,
81.9,135.14,204.88,,,,,
81.92,135.16,204.9,,,,,
81.93,135.18,204.91,,,,,
81.95,135.22,204.94,,,,,
81.97,135.27,204.95,,,,,
81.98,135.32,204.96,,,,,
81.99,135.39,204.97,,,,,
82,135.47,204.99,,,,,
82.01,135.57,205.01,,,,,
82.01,135.68,205.02,,,,,
82.02,135.8,205.03,,,,,
82.02,135.93,205.05,,,,,
82.03,136.09,205.06,,,,,
82.04,136.25,205.08,,,,,
82.05,136.37,205.1,,,,,
82.06,136.49,205.12,,,,,
82.06,136.59,205.13,,,,,
82.07,136.68,205.13,,,,,
82.07,136.76,205.15,,,,,
82.07,136.82,205.17,,,,,
82.08,136.87,205.19,,,,,
82.09,136.89,205.21,,,,,
82.09,136.9,205.22,,,,,
82.1,136.91,205.23,,,,,
82.11,136.92,205.25,,,,,
82.12,136.92,205.28,,,,,
82.12,136.93,205.29,,,,,
82.13,136.94,205.3,,,,,
82.13,136.96,205.31,,,,,
81.92,136.94,205.32,,,,,
81.81,136.55,205.33,,,,,
81.66,135.21,205.33,,,,,
81.56,134.03,205.34,,,,,
81.57,132.87,205.35,,,,,
81.57,131.32,205.35,,,,,
81.6,131.51,205.35,,,,,
81.62,131.64,205.36,,,,,
81.64,131.8,205.36,,,,,
81.66,131.89,205.37,,,,,
81.68,131.96,205.37,,,,,
81.71,132.08,205.37,,,,,
81.74,132.22,205.37,,,,,
81.76,132.32,205.38,,,,,
