-5.95,94.01,257.03
-5.94,94.01,257.02
-5.92,94.01,257.01
-5.9,94.01,257
-5.89,94.01,256.99
-5.87,94.01,256.99
-5.86,94.01,256.99
-5.84,94.01,256.99
-5.82,94.01,256.99
-5.81,94.01,256.98
-5.79,94.01,256.97
-5.78,94.01,256.96
-5.76,94.01,256.95
-5.75,94.01,256.95
-5.73,94.01,256.94
-5.72,94.01,256.93
-5.7,94.01,256.92
-5.68,94.01,256.91
-5.67,94,256.9
-5.66,94,256.9
-5.64,94,256.9
-5.63,94,256.9
-5.62,94,256.89
-5.6,94,256.88
-5.58,94.01,256.87
-5.57,94.01,256.87
-5.56,94.01,256.87
-5.54,94.01,256.87
-5.53,94.01,256.87
-5.52,94.01,256.86
-5.51,94.01,256.85
-5.5,94.02,256.84
-5.49,94.02,256.83
-5.47,94.02,256.82
-5.46,94.02,256.81
-5.45,94.03,256.81
-5.44,94.03,256.8
-5.43,94.03,256.8
-5.42,94.03,256.8
-5.4,94.03,256.79
-5.39,94.03,256.77
-5.37,94.02,256.77
-5.35,94.02,256.75
-5.33,94.01,256.75
-5.3,94.01,256.74
-5.28,94,256.73
-5.26,93.99,256.72
-5.24,93.99,256.72
-5.22,93.99,256.72
-5.22,94.01,256.71
-5.24,94.03,256.71
-5.23,94.03,256.7
-5.22,94.03,256.69
-5.2,94.03,256.69
-5.18,94.02,256.69
-5.17,94.02,256.69
-5.16,94.03,256.69
-5.15,94.03,256.68
-5.14,94.03,256.67
-5.13,94.03,256.67
-5.11,94.03,256.67
-5.1,94.03,256.67
-5.09,94.03,256.66
-5.08,94.03,256.66
-5.07,94.03,256.65
-5.06,94.03,256.65
-5.05,94.03,256.64
-5.04,94.03,256.63
-5.02,94.03,256.61
-5.01,94.03,256.62
-5,94.03,256.62
-4.99,94.03,256.62
-4.98,94.03,256.62
-4.97,94.03,256.62
-4.96,94.03,256.62
-4.95,94.03,256.61
-4.93,94.03,256.61
-4.92,94.03,256.6
-4.91,94.03,256.59
-4.9,94.03,256.59
-4.89,94.03,256.58
-4.88,94.03,256.58
-4.87,94.03,256.58
-4.86,94.04,256.57
-4.85,94.04,256.56
-4.84,94.04,256.55
-4.83,94.03,256.54
-4.82,94.03,256.53
-4.81,94.03,256.53
-4.8,94.03,256.53
-4.79,94.03,256.53
-4.78,94.03,256.51
-4.77,94.03,256.5
-4.76,94.04,256.49
-4.75,94.04,256.49
-4.74,94.03,256.49
-4.73,94.03,256.49
-4.72,94.03,256.49
-4.71,94.03,256.48
-4.7,94.03,256.48
-4.69,94.03,256.47
-4.68,94.03,256.47
-4.67,94.03,256.47
-4.66,94.03,256.47
-4.65,94.03,256.48
-4.65,94.03,256.47
-4.64,94.04,256.47
-4.63,94.04,256.47
-4.62,94.03,256.47
-4.61,94.03,256.46
-4.6,94.03,256.45
-4.59,94.03,256.45
-4.58,94.03,256.45
-4.57,94.03,256.45
-4.56,94.03,256.45
-4.55,94.03,256.45
-4.54,94.03,256.44
-4.53,94.03,256.45
-4.53,94.03,256.45
-4.52,94.03,256.45
-4.51,94.03,256.44
-4.5,94.03,256.44
-4.49,94.03,256.44
-4.48,94.03,256.44
-4.47,94.03,256.44
-4.46,94.03,256.43
-4.45,94.04,256.43
-4.45,94.04,256.43
-4.44,94.04,256.43
-4.43,94.04,256.42
-4.42,94.04,256.42
-4.41,94.04,256.41
-4.4,94.04,256.4
-4.4,94.04,256.4
-4.39,94.04,256.4
-4.38,94.04,256.39
-4.37,94.04,256.38
-4.36,94.04,256.38
-4.36,94.04,256.38
-4.35,94.04,256.38
-4.34,94.04,256.38
-4.33,94.04,256.38
-4.33,94.04,256.38
-4.32,94.04,256.38
-4.31,94.04,256.37
-4.3,94.04,256.37
-4.29,94.04,256.37
-4.29,94.05,256.38
-4.28,94.05,256.38
-4.28,94.05,256.38
-4.27,94.06,256.38
-4.26,94.05,256.38
-4.26,94.05,256.37
-4.25,94.05,256.37
-4.24,94.05,256.37
-4.23,94.05,256.37
-4.22,94.05,256.37
-4.22,94.06,256.38
-4.21,94.06,256.38
-4.12,93.96,256.38
-3.96,93.93,256.37
-3.81,93.96,256.38
-3.71,93.97,256.38
-3.64,93.98,256.38
-3.55,93.98,256.38
-3.45,94,256.39
-3.34,94.02,256.4
-3.24,94.03,256.41
-3.14,94.03,256.42
-3.08,94.03,256.43
-3.03,94.01,256.43
-2.99,94.01,256.44
-2.93,93.96,256.45
-2.83,93.95,256.44
-2.74,93.96,256.44
-2.68,93.99,256.43
-2.66,94.03,256.42
-2.67,94.07,256.43
-2.67,94.08,256.43
-2.67,94.08,256.43
-2.67,94.08,256.43
-2.68,94.08,256.43
-2.68,94.08,256.43
-2.68,94.07,256.42
-2.68,94.07,256.41
-2.68,94.07,256.42
-2.68,94.07,256.42
-2.68,94.07,256.44
-2.68,94.07,256.45
-2.68,94.07,256.46
-2.68,94.07,256.46
-2.68,94.07,256.46
-2.67,94.07,256.47
-2.67,94.07,256.48
-2.67,94.07,256.49
-2.76,94.04,256.48
-2.66,94,256.49
-2.28,93.99,256.51
-1.86,94.03,256.54
-1.45,94.06,256.57
-1.01,94.07,256.6
-0.44,94.09,256.63
0.22,94.15,256.66
1,94.19,256.7
1.95,94.24,256.76
3.12,94.31,256.81
4.44,94.37,256.88
5.84,94.3,256.98
7.08,94.09,257.07
8.38,93.93,257.16
10.01,93.73,257.3
11.92,93.56,257.47
13.75,93.4,257.68
15.59,93.26,257.95
17.42,93.22,258.21
19.24,93.25,258.48
21.07,93.32,258.76
22.91,93.42,259.03
24.71,93.51,259.31
26.5,93.64,259.6
28.34,93.81,259.9
30.22,93.99,260.2
32.07,94.19,260.49
33.96,94.4,260.78
35.98,94.66,261.06
38.03,94.71,261.3
40.02,94.73,261.5
41.95,94.8,261.68
43.64,94.93,261.83
45.12,95.06,261.97
46.51,95.17,262.1
47.84,95.25,262.23
49.1,95.3,262.36
50.32,95.33,262.49
51.54,95.29,262.62
52.63,95.21,262.74
53.52,95.12,262.84
54.18,94.99,262.93
54.63,94.84,263
54.88,94.73,263.06
54.97,94.68,263.1
54.95,94.64,263.14
54.84,94.62,263.16
54.61,94.59,263.18
54.25,94.55,263.18
53.74,94.51,263.18
53.12,94.44,263.18
52.42,94.35,263.17
51.69,94.27,263.16
51.02,94.2,263.15
50.43,94.1,263.15
49.94,94.02,263.15
49.43,93.94,263.15
48.89,93.87,263.15
48.32,93.82,263.15
47.74,93.79,263.14
47.15,93.8,263.14
46.57,93.8,263.13
46,93.77,263.12
45.37,93.75,263.11
44.7,93.72,263.09
43.93,93.7,263.06
43.03,93.67,263.02
41.91,93.64,262.96
40.56,93.61,262.89
38.97,93.61,262.78
37.14,93.62,262.65
35.07,93.68,262.51
32.99,93.75,262.37
30.96,93.82,262.24
28.98,93.9,262.1
26.99,93.99,261.98
24.96,94.04,261.85
22.91,93.93,261.65
20.9,93.73,261.42
18.93,93.58,261.18
16.93,93.63,260.91
14.79,93.88,260.63
12.84,94.37,260.4
10.82,94.63,260.17
8.7,94.81,259.96
6.51,94.99,259.76
4.3,95.15,259.6
2.09,95.33,259.46
-0.09,95.49,259.33
-2.23,95.64,259.21
-4.34,95.7,259.09
-6.41,95.83,258.97
-8.51,95.92,258.87
-10.27,95.94,258.78
-11.75,95.91,258.7
-12.97,95.91,258.63
-14.03,95.9,258.57
-14.93,95.85,258.52
-15.61,95.76,258.48
-16.16,95.68,258.44
-16.67,95.59,258.4
-17.07,95.53,258.36
-17.36,95.57,258.33
-17.69,95.62,258.31
-18.06,95.63,258.27
-18.43,95.62,258.24
-18.77,95.58,258.21
-19.04,95.51,258.18
-19.24,95.44,258.15
-19.4,95.35,258.13
-19.53,95.26,258.11
-19.65,95.22,258.09
-19.76,95.15,258.08
-19.83,95.09,258.06
-19.86,95.06,258.05
-19.88,95.06,258.04
-19.94,95.06,258.02
-20.04,95.05,258
-20.13,95.03,257.97
-20.19,95.03,257.95
-20.26,95.05,257.92
-20.37,95.05,257.89
-20.48,95.04,257.86
-20.6,95.01,257.84
-20.7,95,257.82
-20.83,94.95,257.79
-20.91,94.92,257.76
-20.98,94.88,257.73
-21.04,94.84,257.71
-21.08,94.83,257.68
-21.13,94.8,257.66
-21.19,94.77,257.64
-21.18,94.77,257.63
-21.15,94.78,257.62
-21.1,94.78,257.6
-21.03,94.78,257.58
-20.94,94.78,257.56
-20.85,94.78,257.54
-20.75,94.77,257.52
-20.65,94.75,257.49
-20.56,94.74,257.46
-20.47,94.73,257.45
-20.4,94.74,257.43
-20.25,94.74,257.43
-20.05,94.73,257.42
-19.85,94.7,257.39
-19.68,94.67,257.38
-19.57,94.65,257.38
-19.48,94.64,257.37
-19.39,94.63,257.36
-19.3,94.62,257.35
-19.22,94.61,257.34
-19.13,94.6,257.32
-19.05,94.59,257.31
-18.96,94.58,257.29
-18.88,94.56,257.28
-18.79,94.55,257.27
-18.71,94.54,257.24
-18.62,94.53,257.23
-18.54,94.52,257.22
-18.46,94.51,257.2
-18.37,94.5,257.19
-18.29,94.49,257.17
-18.21,94.48,257.16
-18.18,94.45,257.15
-18.2,94.43,257.13
-18.21,94.43,257.1
-18.18,94.43,257.09
-18.12,94.42,257.06
-18.04,94.41,257.04
-17.96,94.4,257.02
