0.95,0.95,0.96,,0.95,0.95
0.94,0.95,0.94,,0.95,0.95
0.95,0.95,0.95,,0.95,0.95
0.94,0.95,0.96,,0.95,0.95
0.94,0.95,0.95,,0.95,0.94
0.94,0.95,0.94,,0.95,0.95
0.94,0.95,0.95,,0.95,0.95
0.95,0.95,0.95,,0.95,0.97
0.95,0.95,0.95,,0.95,0.96
0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.93
0.95,0.95,0.95,0.95,0.95,0.92
0.95,0.95,0.95,0.95,0.95,0.96
0.95,0.95,0.95,0.95,0.95,0.96
0.95,0.95,0.95,0.95,0.95,0.93
0.95,0.95,0.95,0.95,0.95,0.97
0.95,0.95,0.95,0.95,0.95,1.04
0.95,0.95,0.95,0.95,0.95,0.91
0.95,0.96,0.95,0.95,0.95,0.95
0.95,0.95,0.94,0.95,0.95,0.95
0.94,0.95,0.95,0.95,0.95,0.96
0.95,0.95,0.96,0.95,0.95,0.98
0.95,0.95,0.95,0.95,0.95,1.06
0.95,0.98,0.95,0.95,0.95,1.08
0.95,0.95,0.94,0.95,0.95,1
0.95,0.95,0.96,0.95,0.95,0.98
0.95,0.95,0.96,0.95,0.95,0.95
0.95,0.95,0.95,0.95,0.95,0.95
0.95,0.95,0.94,0.95,0.95,0.96
0.95,0.95,0.96,0.95,0.95,0.97
0.96,0.95,0.96,0.95,0.95,0.96
0.95,0.96,0.95,0.96,0.95,0.95
1.05,0.95,0.95,0.95,0.95,0.95
1.01,0.97,0.96,0.94,0.95,0.95
1.18,0.97,0.98,0.95,0.95,0.94
1.28,1.07,1.02,0.95,0.95,0.95
1.37,1.13,1.16,0.95,0.95,0.95
1.54,1.23,1.32,0.94,1,0.95
1.6,1.31,1.5,0.96,0.94,0.95
1.65,1.35,1.64,0.96,0.96,1.03
1.78,1.51,1.74,1.05,0.97,1.04
1.77,1.74,1.75,1.19,0.99,1.06
1.81,1.81,1.85,1.31,1.1,1.07
1.76,1.96,1.69,1.57,1.2,1.07
1.51,2.18,1.54,1.86,1.34,1.04
1.39,2.03,1.53,2.12,1.58,1
1.02,2.06,1.4,2.35,1.91,1.01
0.94,1.83,1.23,2.41,2.16,0.98
1.02,1.72,1.35,2.23,2.42,0.94
1.1,1.37,1.24,2.02,2.7,0.96
1.22,1.06,1.17,1.81,2.65,1.01
1.47,1.19,1.21,1.64,2.47,1.01
1.76,1.1,1.53,1.31,2.36,1.08
1.91,3,1.38,1.4,2.19,1.18
2.03,2.03,1.29,1.26,2.22,1.26
2.17,2.67,1.41,1.26,2,1.37
2.2,2.89,1.39,1.35,2.07,1.39
2.14,2.63,1.67,1.45,1.21,1.41
2.08,2.38,2.03,1.11,1.29,1.37
1.88,2.1,2.31,1.44,1.29,1.36
1.48,1.88,2.34,1.59,1.4,1.27
1.68,1.64,2.22,1.83,1.59,1.25
1.59,1.39,2.23,2.13,1.72,1.17
1.55,1.24,2.02,2.3,1.67,1.14
1.58,1.11,1.76,2.46,1.75,1.04
1.52,1.37,2.2,2.43,2.05,1.07
1.51,1.1,1.59,2.3,2.4,1.05
1.5,1.14,1.16,2.08,2.51,0.96
1.45,1.19,1.02,1.83,2.57,1
1.53,1.18,1.18,1.62,2.2,0.94
1.45,1.24,1.22,1.57,1.76,0.96
1.45,1.35,1.23,1.56,1.54,1.04
1.44,1.41,1.31,1.59,2.02,1.12
1.38,1.41,1.37,2.03,1.65,1.15
1.34,1.3,1.42,1.97,1.18,1.29
1.22,1.31,1.45,1.54,1.24,1.32
1.06,1.28,1.5,1.6,1.15,1.44
1.08,1.24,1.47,0.81,1.13,1.48
1.03,1.18,1.43,1.47,1.31,1.39
1.25,1.3,1.37,1.42,1.26,1.43
1.49,1.02,1.22,1.49,1.31,1.41
1.51,1.09,1.18,1.4,1.4,1.37
1.52,0.94,1.14,1.45,1.54,1.32
1.67,0.96,1.08,1.44,1.63,1.23
1.71,1.03,1.02,1.33,1.72,1.11
1.58,1,1.12,1.34,1.72,1.03
1.65,0.94,1.08,1.27,1.58,1.05
1.52,1.08,0.99,1.24,1.44,0.9
1.44,1.07,0.99,1.1,1.26,0.99
1.36,1.2,1.03,1.17,1.31,0.98
1.23,1.18,1.07,1.1,1.18,1.04
1.16,1.2,1.09,1.19,1.15,1.14
1.14,1.2,1.18,1.04,1.11,1.2
1.06,1.15,1.28,1.17,1.14,1.35
1.06,1.13,1.21,1.25,1.1,1.35
1.03,1.15,1.25,1.27,1.01,1.34
1,1.04,1.16,1.25,1.04,1.33
0.97,1.07,1.3,1.31,1,1.18
0.97,1.03,1.17,1.31,1.04,1.25
0.97,1.02,1.24,1.31,1.05,1.18
0.96,1.05,1.16,1.34,0.94,1.13
0.97,1.04,1.07,1.38,1.11,1.15
0.97,1.09,1.05,1.33,1.06,1.1
0.97,1.06,1.1,1.3,1.21,1.08
0.97,1.07,1.04,1.25,1.2,1.03
0.95,1.1,1.03,1.2,1.25,1.03
0.95,0.99,0.99,1.12,1.23,1
0.94,0.96,1.06,1.2,1.31,0.99
0.96,1,1,1.15,1.25,0.97
0.93,1.02,1,1.09,1.21,0.92
0.96,0.98,0.96,1.12,1.2,0.91
