A1,A2,A3,A4,A5,Noise,,Noise,,,,,,,,,,,,,,,
1.45,1.3,1.42,1.42,1.4,1.29,,1.04,,,,,,,,,,,,,,,
1.44,1.31,1.45,1.49,1.54,1.32,,1.14,,,,,,,,,,,,,,,
1.38,1.28,1.5,1.4,1.63,1.44,,1.2,,,,,,,,,,,,,,,
1.34,1.24,1.47,1.45,1.72,1.48,,1.35,,,,,,,,,,,,,,,
1.22,1.18,1.43,1.44,1.72,1.39,,1.35,,,,,,,,,,,,,,,
1.06,1.3,1.37,1.33,1.58,1.43,,1.34,,,,,,,,,,,,,,,
1.08,1.02,1.22,1.34,1.44,1.41,,1.33,,,,,,,,,,,,,,,
1.03,1.09,1.18,1.27,1.26,1.37,,1.18,,,,,,,,,,,,,,,
1.25,0.94,1.14,1.24,1.31,1.32,,1.25,,,,,,,,,,,,,,,
1.49,0.96,1.08,1.1,1.18,1.23,,1.18,,,,,,,,,,,,,,,
1.51,1.03,1.02,1.17,1.15,1.11,,1.13,,,,,,,,,,,,,,,
1.52,1,1.12,1.1,1.11,1.03,,1.15,,,,,,,,,,,,,,,
1.67,0.94,1.08,1.19,1.14,1.05,,1.1,,,,,,,,,,,,,,,
1.71,1.08,0.99,1.04,1.1,0.9,,1.08,,,,,,,,,,,,,,,
1.58,1.07,0.99,1.17,1.01,0.99,,1.03,,,,,,,,,,,,,,,
1.65,1.2,1.03,1.25,1.04,0.98,,1.03,,,,,,,,,,,,,,,
1.52,1.18,1.07,1.27,1,1.04,,1,,,,,,,,,,,,,,,
1.44,1.2,1.09,1.25,1.04,1.14,,0.99,,,,,,,,,,,,,,,
1.36,1.2,1.18,1.31,1.05,1.2,,0.97,,,,,,,,,,,,,,,
1.23,1.15,1.28,1.31,0.94,1.35,,0.92,,,,,,,,,,,,,,,
1.16,1.13,1.21,1.31,1.11,1.35,,0.91,,,,,,,,,,,,,,,
1.14,1.15,1.25,1.34,1.06,1.34,,0.96,,,,,,,,,,,,,,,
1.06,1.04,1.16,1.38,1.21,1.33,,1.08,,,,,,,,,,,,,,,
1.06,1.07,1.3,1.33,1.2,1.18,,1.13,,,,,,,,,,,,,,,
1.03,1.03,1.17,1.3,1.25,1.25,,1.18,,,,,,,,,,,,,,,
1,1.02,1.24,1.25,1.23,1.18,,1.25,,,,,,,,,,,,,,,
0.97,1.05,1.16,1.2,1.31,1.13,,1.29,,,,,,,,,,,,,,,
0.97,1.04,1.07,1.12,1.25,1.15,,1.2,,,,,,,,,,,,,,,
0.97,1.09,1.05,1.2,1.21,1.1,,1.14,,,,,,,,,,,,,,,
0.96,1.06,1.1,1.15,1.2,1.08,,1.19,,,,,,,,,,,,,,,
0.97,1.07,1.04,1.09,1.26,1.03,,1.04,,,,,,,,,,,,,,,
0.97,1.1,1.03,1.12,1.18,1.03,,1.01,,,,,,,,,,,,,,,
0.97,0.99,0.99,1.09,1.16,1,,1.01,,,,,,,,,,,,,,,
0.97,0.96,1.06,1.06,1.22,0.99,,0.97,,,,,,,,,,,,,,,
