33.05,,34.61,36.36,27.91,,,,,,
33.04,,34.61,36.36,27.92,,,,,,
33.04,,34.61,36.37,27.92,,,,,,
33.03,,34.61,36.37,27.92,,,,,,
33.02,,34.61,36.37,27.91,,,,,,
33.03,,34.61,36.37,27.9,,,,,,
33.04,,34.62,36.38,27.9,,166,33.11,,72.91,
33.04,,34.63,36.38,27.89,,325,-39.8,,,
33.05,,34.64,36.39,27.89,,,,,,
33.05,,34.64,36.38,27.89,,305,99.77,,66.66,
33.05,,34.64,36.38,27.89,,,,,,
33.05,,34.63,36.38,27.89,,,,,,
33.06,,34.64,36.38,27.89,,,,,,
33.06,,34.65,36.38,27.9,,,,,,
33.06,,34.65,36.38,27.9,,,,,,
33.07,,34.66,36.38,27.9,,,,,,
33.07,,34.66,36.38,27.9,,,,,,
33.08,,34.67,36.38,27.91,,,,,,
33.09,,34.68,36.38,27.91,,,,,,
33.1,,34.68,36.38,27.92,,,,,,
33.1,,34.68,36.37,27.92,,,,,,
33.1,,34.68,36.38,27.92,,,,,,
33.1,,34.68,36.39,27.93,,,,,,
33.1,,34.68,36.4,27.93,,,,,,
33.1,,34.69,36.4,27.94,,,,,,
33.11,,34.7,36.39,27.94,,,,,,
33.11,,34.7,36.38,27.94,,,,,,
33.1,,34.69,36.37,27.93,,,,,,
33.09,,34.69,36.36,27.92,,,,,,
33.08,,34.68,36.35,27.92,,,,,,
33.08,,34.69,36.34,27.91,,,,,,
33.07,,34.69,36.33,27.92,,,,,,
33.06,,34.68,36.33,27.92,,,,,,
33.07,,34.68,36.32,27.92,,,,,,
33.07,,34.68,36.32,27.92,,,,,,
33.08,,34.69,36.31,27.91,,,,,,
33.09,,34.68,36.3,27.9,,,,,,
33.08,,34.68,36.31,27.9,,,,,,
33.07,,34.68,36.31,27.91,,,,,,
33.08,,34.68,36.31,27.9,,,,,,
33.09,,34.68,36.32,27.89,,,,,,
33.1,,34.69,36.31,27.89,,,,,,
33.1,,34.69,36.3,27.89,,,,,,
33.12,,34.7,36.29,27.88,,,,,,
33.15,,34.71,36.29,27.88,,,,,,
33.2,,34.72,36.29,27.85,,,,,,
33.27,,34.71,36.3,27.83,,,,,,
33.35,,34.7,36.32,27.83,,,,,,
33.44,,34.71,36.32,27.84,,,,,,
33.5,,34.72,36.31,27.84,,,,,,
33.56,,34.71,36.31,27.84,,,,,,
33.64,,34.7,36.32,27.84,,,,,,
33.73,,34.7,36.32,27.84,,,,,,
33.81,,34.7,36.32,27.83,,,,,,
33.86,,34.71,36.32,27.83,,,,,,
33.92,,34.72,36.31,27.82,,,,,,
33.98,,34.7,36.31,27.82,,,,,,
34.07,,34.69,36.3,27.82,,,,,,
34.13,,34.69,36.31,27.81,,,,,,
34.14,,34.68,36.31,27.81,,,,,,
34.14,,34.69,36.31,27.81,,,,,,
34.15,,34.7,36.3,27.8,,,,,,
34.15,,34.7,36.29,27.79,,,,,,
34.17,,34.7,36.29,27.79,,,,,,
34.18,,34.7,36.29,27.79,,,,,,
34.19,,34.71,36.29,27.78,,,,,,
34.2,,34.71,36.29,27.78,,,,,,
34.2,,34.71,36.29,27.78,,,,,,
34.2,,34.72,36.29,27.78,,,,,,
34.2,,34.72,36.28,27.78,,,,,,
34.2,,34.72,36.27,27.77,,,,,,
34.21,,34.72,36.27,27.77,,,,,,
34.21,,34.72,36.26,27.78,,,,,,
34.2,,34.71,36.25,27.76,,,,,,
34.19,,34.71,36.26,27.75,,,,,,
34.18,,34.71,36.28,27.74,,,,,,
34.18,,34.71,36.27,27.72,,,,,,
34.19,,34.72,36.27,27.71,,,,,,
34.2,,34.72,36.27,27.7,,,,,,
34.21,,34.73,36.28,27.7,,,,,,
34.21,,34.74,36.29,27.71,,,,,,
34.23,,34.76,36.29,27.73,,,,,,
34.24,,34.75,36.29,27.75,,,,,,
34.24,,34.75,36.29,27.75,,,,,,
34.25,,34.75,36.29,27.75,,,,,,
34.26,,34.74,36.29,27.75,,,,,,
34.28,,34.74,36.29,27.76,,,,,,
34.28,,34.74,36.29,27.77,,,,,,
34.29,30.09,34.74,36.29,27.79,,,,,,
34.29,30.08,34.73,36.3,27.87,,,,,,
34.3,30.08,34.74,36.31,27.99,,,,,,
34.3,30.07,34.74,36.32,28.13,,,,,,
34.31,30.06,34.74,36.32,28.28,,,,,,
34.32,30.06,34.75,36.31,28.46,,,,,,
34.33,30.05,34.75,36.32,28.61,,,,,,
34.34,30.05,34.74,36.33,28.73,,,,,,
34.36,30.04,34.74,36.32,28.9,,,,,,
34.37,30.04,34.73,36.31,29.14,,,,,,
34.39,30.03,34.72,36.31,29.42,,,,,,
34.39,30.03,34.72,36.31,29.7,,,,,,
34.39,30.02,34.72,36.3,29.98,,,,,,
34.4,30.02,34.72,36.3,30.25,,,,,,
34.41,30.01,34.72,36.31,30.51,,,,,,
34.42,30.01,34.72,36.31,30.74,,,,,,
34.43,30,34.73,36.32,30.95,,,,,,
34.44,29.99,34.73,36.32,31.11,,,,,,31.89
34.46,29.97,34.72,36.33,31.21,,,,,,31.89
34.46,29.97,34.71,36.33,31.27,,,,,,31.9
34.46,29.97,34.7,36.33,31.29,,,,,,31.91
34.47,29.96,34.7,36.33,31.29,,,,,,31.9
34.47,29.95,34.69,36.33,31.3,,,,,,31.89
34.48,29.94,34.69,36.33,31.3,,,,,,31.89
34.48,29.94,34.7,36.32,31.29,,,,,,31.89
34.48,29.95,34.71,36.32,31.26,,,,,,31.88
34.48,29.96,34.71,36.32,31.23,,,,,,31.88
34.49,29.95,34.72,36.31,31.17,,,,,,31.88
34.49,29.94,34.72,36.3,31.07,,,,,,31.89
34.48,29.94,34.72,36.26,30.95,,,,,,31.89
34.48,29.94,34.71,36.15,30.81,,,,,,31.89
34.47,29.94,34.71,36.08,30.68,,,,,,31.89
34.47,29.93,34.71,36.03,30.57,,,,,,31.9
34.48,29.93,34.71,35.98,30.46,,,,,,31.89
34.49,29.94,34.7,35.9,30.38,,,,,,31.89
34.5,29.93,34.69,35.79,30.34,,,,,,31.89
34.5,29.93,34.69,35.69,30.32,,,,,,31.89
34.51,29.91,34.69,35.58,30.29,,,,,,31.88
34.52,29.9,34.69,35.46,30.25,,,,,,31.86
34.52,29.9,34.69,35.33,30.2,,,,,,31.86
34.51,29.89,34.69,35.21,30.15,,,,,,31.86
34.52,29.89,34.69,35.1,30.1,,,,,,31.86
34.53,29.9,34.69,35.02,30.05,,,,,,31.86
34.53,29.89,34.69,34.94,30.02,,,,,,31.85
34.53,29.89,34.69,34.86,30.01,,,,,,31.85
34.54,29.88,34.7,34.76,30,,,,,,31.85
34.55,29.87,34.69,34.63,30,,,,,,31.85
34.56,29.87,34.69,34.47,30.03,,,,,,31.86
34.57,29.87,34.69,34.31,30.05,,,,,,31.87
34.57,29.86,34.68,34.15,30.07,,,,,,31.88
34.58,29.85,34.7,34.02,30.09,,,,,,31.88
34.59,29.83,34.71,33.89,30.11,,,,,,31.89
34.61,29.82,34.7,33.77,30.13,,,,,,31.89
34.61,29.82,34.7,33.69,30.14,,,,,,31.9
34.61,29.82,34.72,33.61,30.15,,,,,,31.9
34.62,29.82,34.73,33.54,30.16,,,,,,31.9
34.64,29.82,34.73,33.52,30.17,,,,,,31.9
34.65,29.81,34.74,33.5,30.2,,,,,,31.9
34.67,29.81,34.73,33.49,30.22,,,,,,31.9
34.67,29.8,34.72,33.48,30.24,,,,,,31.89
34.68,29.8,34.72,33.46,30.25,,,,,,31.88
34.69,29.79,34.72,33.45,30.25,,,,,,31.88
34.7,29.78,34.7,33.38,30.26,,,,,,31.89
34.7,29.77,34.69,33.21,30.27,,,,,,31.88
34.71,29.76,34.69,33,30.28,,,,,,31.88
34.71,29.75,34.7,32.8,30.27,,,,,,31.89
34.72,29.75,34.7,32.63,30.26,,,,,,31.91
34.73,29.74,34.69,32.47,30.24,,,,,,31.92
34.74,29.66,34.7,32.33,30.23,,,,,,31.92
34.74,29.51,34.71,32.18,30.23,,,,,,31.92
34.75,29.35,34.7,32.04,30.22,,,,,,31.91
34.77,29.2,34.68,31.91,30.2,,,,,,31.91
34.8,29.04,34.66,31.77,30.16,,,,,,31.91
34.78,28.87,34.46,31.62,30.09,,,,,,31.91
34.67,28.64,34.13,31.46,29.96,,,,,,31.91
34.52,28.43,33.8,31.29,29.79,,,,,,31.9
34.34,28.2,33.47,31.13,29.54,,,,,,31.9
34.16,27.92,33.11,30.99,29.25,,,,,,31.9
33.94,27.59,32.69,30.83,28.93,,,,,,31.89
33.63,27.22,32.29,30.68,28.57,,,,,,31.88
33.28,26.84,31.85,30.51,28.19,,,,,,31.87
32.88,26.43,31.39,30.36,27.81,,,,,,31.88
32.49,25.99,30.91,30.2,27.45,,,,,,31.89
32.08,25.54,30.41,30.03,27.13,,,,,,31.9
31.68,25.08,29.91,29.84,26.82,,,,,,31.9
31.23,24.61,29.42,29.65,26.46,,,,,,31.91
30.76,24.14,28.89,29.45,26.08,,,,,,31.97
30.26,23.65,28.33,29.26,25.65,,,,,,32.19
29.74,23.16,27.77,29.05,25.15,,,,,,32.53
29.21,22.62,27.18,28.8,24.61,,,,,,32.89
28.65,22.09,26.57,28.56,24.04,,,,,,33.24
28.06,21.55,25.98,28.3,23.44,,,,,,33.56
27.44,21.01,25.37,28,22.85,,,,,,33.8
26.79,20.47,24.75,27.68,22.3,,,,,,33.97
26.14,19.92,24.1,27.36,21.82,,,,,,34.05
25.46,19.4,23.45,27.05,21.39,,,,,,34.08
